iShares Russell 2000 ETF
Fund Holdings as of,"Jan 21, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"291,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NPO","ENPRO INC","Industrials","Equity","125,000,888.10","0.16","125,000,888.10","522,885.00","239.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GPI","GROUP AUTOMOTIVE INC","Consumer Discretionary","Equity","124,029,079.20","0.16","124,029,079.20","305,370.00","406.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLAB","SILICON LABORATORIES INC","Information Technology","Equity","123,152,535.96","0.16","123,152,535.96","810,534.00","151.94","United States","NASDAQ","USD","1.00","USD","-"
"VSEC","VSE CORP","Industrials","Equity","123,085,723.20","0.16","123,085,723.20","568,788.00","216.40","United States","NASDAQ","USD","1.00","USD","-"
"SR","SPIRE INC","Utilities","Equity","122,674,585.32","0.16","122,674,585.32","1,453,146.00","84.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABG","ASBURY AUTOMOTIVE GROUP INC","Consumer Discretionary","Equity","122,424,986.25","0.16","122,424,986.25","482,463.00","253.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RDNT","RADNET INC","Health Care","Equity","122,180,544.00","0.16","122,180,544.00","1,696,952.00","72.00","United States","NASDAQ","USD","1.00","USD","-"
"MATX","MATSON INC","Industrials","Equity","121,542,398.99","0.16","121,542,398.99","780,569.00","155.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMSI","MERIT MEDICAL SYSTEMS INC","Health Care","Equity","121,161,472.25","0.15","121,161,472.25","1,451,905.00","83.45","United States","NASDAQ","USD","1.00","USD","-"
"PLXS","PLEXUS CORP","Information Technology","Equity","121,015,355.75","0.15","121,015,355.75","666,935.00","181.45","United States","NASDAQ","USD","1.00","USD","-"
"CNX","CNX RESOURCES CORP","Energy","Equity","120,746,600.60","0.15","120,746,600.60","3,239,780.00","37.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTGX","PROTAGONIST THERAPEUTICS INC","Health Care","Equity","120,673,332.19","0.15","120,673,332.19","1,438,471.00","83.89","United States","NASDAQ","USD","1.00","USD","-"
"NJR","NEW JERSEY RESOURCES CORP","Utilities","Equity","120,442,068.63","0.15","120,442,068.63","2,510,779.00","47.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QLYS","QUALYS INC","Information Technology","Equity","120,006,045.00","0.15","120,006,045.00","905,706.00","132.50","United States","NASDAQ","USD","1.00","USD","-"
"AROC","ARCHROCK INC","Energy","Equity","118,904,329.48","0.15","118,904,329.48","4,263,332.00","27.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAC","MACERICH REIT","Real Estate","Equity","118,461,763.20","0.15","118,461,763.20","6,368,912.00","18.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
